investment-ch01-pdf-0059	36	r = (1 + R)/(1 + I) - 1; 1.08%/1.04%- 1 = 3.8% 36
investment-ch01-pdf-0076	40	美國存託憑證(ADR)為美國境外的上市公司為了到美國資本市場上募集資金而到美國發行的憑證,用以表彰公司股票的股份。 40
investment-ch02-pdf-0002	365	國庫券報價為95.30,代表其貼現率=100%-95.30%=4.7% 90 國庫券價格=1,000,000×(1-4.7%×)=988,411 365
investment-ch04-pdf-0008	172	孕育十字線在長紅之後收十字線,表示多頭力道已減弱,為頭部訊號。 172
investment-ch06-pdf-0004	256	相關係數=1,則投資組合標準差σp=W1σ1+W2σ2 256
investment-ch09-pdf-0056	390	6,500×50元=325,000元。 390
investment-ch09-pdf-0074	304	30天期商業本票利率期貨以百分比為報價單位,最小升降單位為0.005,價值以$411計算。 獲利為(98.75-98.5)÷0.005×411=20,550。 304
financial-analysis-ch01-pdf-0041	38	重大期後事項應在財務報表附註中進行揭露,以告知使用者其潛在影響。 38
financial-analysis-ch02-pdf-0004	76	營業循環=存貨週轉期間+應收帳款週轉期間 365 365 40= 十,存貨週轉率=16.78 存貨週轉率 20 76
financial-analysis-ch02-pdf-0049	86	流動性指數是以各流動資產之構成項目的金額乘以該項目轉換成現金所需之天數,再以各乘積之和除以流動資產總額所得,與流 86
financial-analysis-ch04-pdf-0002	1	發放股票股利屬盈餘轉增資,不影響權益總額。 1
financial-analysis-ch07-pdf-0143	296	進貨成本=$100,000+$2,000—$1,000=$101,000 銷貨成本=$150,000+$101,000-$100,000=$151,000 296
financial-analysis-ch07-pdf-0149	298	製成品成本=$525,000+$420,000=$945,000 淨變現價值=$980,000-$17,500=$962,500 成本く淨變現價值,製成品未產生跌價,原材料不須提列存貨跌價損失 298
financial-analysis-ch08-pdf-0019	112	$40×120,000 認股權行使所增加股數=120,000- =24,000 $50 $477,000 稀釋每股盈餘= =$1.5 300,000+24,000× 112
financial-analysis-ch08-pdf-0026	100	EPS=($100,000-$10×50,000×8%)/100,000=$0.6 P/E ratio = $60/$0.6 = 100
financial-analysis-ch10-pdf-0025	200	企業報稅時,採用加速折舊法,可在早期繳納較少稅額,故可鼓勵企業從事投資。 200
financial-analysis-ch10-pdf-0065	296	成長率=權益報酬率×保留比率=15%×30%=4.5% 296
financial-analysis-ch10-pdf-0133	408	因為國庫債券期貨並不能參與除息,所以要扣除息金額。又6 個月後國庫債券期貨價值=(97-1)×(1+0.5%)=96.48 408
securities-trading-regulations-ch01-pdf-0022	28	依「證券交易法」§149規定,政府機關發行之債券,其上市由主管機關以命令行之,不適用證交法規定。 28
securities-trading-regulations-ch02-pdf-0169	140	,非流動負債係指非屬流動負債之其他負債,企業是否意圖或預期於資產負債表日後十二個月內清償該負債,不影響其流動性之分類。非流動負債至少應包括下列各項目:一、應付公司債(含海外公司債):發行人發行之債券。二、長期借款。三、租賃負債。四、遞延所得稅負債: 指與應課稅暫時性差異有關之未來期間應付所得稅金額。五、其他非流動負債:不能歸屬於以上各類之非流動負債。 140
securities-trading-regulations-ch03-pdf-0056	1	依「證券交易法」§157-1第1項規定。 1
securities-trading-regulations-ch03-pdf-0075	166	依「證券交易法第157條之1第5項及第6項重大消息範圍及其公開方式管理辦法」§6規定。一、公司輸入公開資訊觀測站。 二、臺灣證券交易所股份有限公司基本市況報導網站中公告。三、財團法人中華民國證券櫃檯買賣中心基本市況報導網站中公告。四、兩家以上每日於全國發行報紙之非地方性版面、全國性電視新聞或前開媒體所發行之電子報報導。 166
securities-trading-regulations-ch04-pdf-0076	212	依「證券商管理規則」§38第1項規定,證券商受託買賣有價證券,應於銀行設立專用之存款帳戶辦理對客戶交割款項之收付, 該帳戶款項不得流用。 212
securities-trading-regulations-ch05-pdf-0014	250	證券商營業處所買回其股份者,應於董事會決議之日起二日內公告,並向金融監督管理委員會申報下列事項:一、買回股份之目的。 二、買回股份之種類。三、買回股份之總金額上限。四、預定買回之期間與數量。五、買回之區間價格。六、買回之方式。七、申報時已持有本公司股份之數量。八、申報前三年內買回本公司股份之情形。 九、已申報買回但未執行完畢之情形等,計有十五款事由。 250
securities-trading-regulations-ch05-pdf-0029	254	依「證券集中保管事業管理規則」§4第1項規定,證券集中保管事業以股份有限公司組織為限,其實收資本額不得少於新臺幣五億元,發起人並應於發起時一次認足之。 254
securities-trading-regulations-ch05-pdf-0092	270	依「證券交易法」§171第1項第1款規定,有下列情事之一者,處三年以上十年以下有期徒刑,得併科新臺幣一千萬元以上二億元以下罰金:一、違反第二十條第一項、第二項、第一百五十五條第一項、第二項、第一百五十七條之一第一項或第二項規定。 270
securities-trading-regulations-ch07-pdf-0011	356	依「證券交易法」§166第1項規定,依本法所為有價證券交易所生之爭議,當事人得依約定進行仲裁(約定仲裁)。但證券商與證券交易所或證券商相互間,不論當事人間有無訂立仲裁契約,均應進行仲裁(強制仲裁)。 356
securities-trading-regulations-ch07-pdf-0012	356	依「證券交易法」§166第1項規定,依本法所為有價證券交易所生之爭議,當事人得依約定進行仲裁(約定仲裁)。但證券商與證券交易所或證券商相互間,不論當事人間有無訂立仲裁契約,均應進行仲裁(強制仲裁)。 356
securities-trading-regulations-ch07-pdf-0013	356	依「證券交易法」§166第1項規定,依本法所為有價證券交易所生之爭議,當事人得依約定進行仲裁(約定仲裁)。但證券商與證券交易所或證券商相互間,不論當事人間有無訂立仲裁契約,均應進行仲裁(強制仲裁)。 356
securities-trading-regulations-ch07-pdf-0040	364	商因財務困難失卻清償能力而違約時,其於證券交易市場買賣有價證券並已完成交割義務,或委託該證券商向認購(售)權證之發行人請求履約並已給付應繳之價款或有價證券,而未取得其應得之有價證券或價款。 二、期貨交易人於所委託之期貨商因財務困難失卻清償能力而違約時,其於期貨交易市場從事期貨交易,而未取得其應得之保證金、權利金,及經期貨結算機構完成結算程序後之利得。 364
securities-trading-practice-ch02-pdf-0003	1	依「發行人募集與發行有價證券處理準則」§3第1項規定: 金融監督管理委員會審核有價證券之募集與發行、公開招募、補辦公開發行、無償配發新股與減少資本採申報生效制。 1
securities-trading-practice-ch02-pdf-0045	416	依「外國發行人募集與發行有價證券處理準則」§2規定,外國發行人在中華民國境內或第一上市(櫃)公司及興櫃公司於中華民國境外募集與發行有價證券,應依本準則規定辦理。 416
securities-trading-practice-ch04-pdf-0002	456	依「發行人募集與發行有價證券處理準則」§7:八、上市櫃公司或興櫃公司未依「證券交易法」§14-6第1項規定設置薪資報酬委員會或依法令規定辦理,情節重大者主管機關得退回其申報案件。 456
securities-trading-practice-ch06-pdf-0061	500	依「證券商辦理財富管理業務應注意事項」§4第3項規定, 證券商辦理第一項第三款與第四款業務種類,接受客戶原始信託財產達新臺幣一千五百萬元以上,應依證券投資信託事業證券投資顧問事業經營全權委託投資業務管理辦法,申請兼營證券投資顧問事業以信託方式辦理全權委託投資業務。 500
securities-trading-practice-ch07-pdf-0046	1	「對有價證券上櫃公司資訊申報作業辦法」$3第1項規定,股票上市(上櫃)公司應定期申報資訊之事項及時限,依下列各款之規定:十九、上市(上櫃)公司獨立董事資訊暨全體董事出席董事會與進修情形:(一)獨立董事之主要現職、主要經歷及兼任其他公司董事、監察人之資訊:應於每季結束後十日內申報上一季之異動資訊。(二)全體董事出席董事會與進修情形:應於每年一月十日前申報。 1
securities-trading-practice-ch07-pdf-0047	528	依證交所「對有價證券上市公司及境外指數股票型基金上市之境外基金機構資訊申報作業辦法」及櫃買中心「對有價證券上櫃公司資訊申報作業辦法」§3第2項規定,股票上市(上櫃)公司應不定期申報資訊之事項及時限,依下列各款之規定:三十六、基層員工調整薪資或分派酬勞之相關資訊:國內上市(上櫃)公司應於董事會決議後二日內申報…。 528
securities-trading-practice-ch09-pdf-0056	578	依「證交所營業細則」§80規定,證券經紀商對電話委託應同步錄音,並將電話錄音紀錄置於營業處所。前項電話錄音紀錄,證券經紀商應至少保存一年。 578
securities-trading-practice-ch09-pdf-0113	590	依「證交所證券商交割結算基金管理辦法」$2規定,證券經紀商及證券自營商,應依金管會所定之標準,向證交所繳存交割結算基金。 590
